Brooklyn Rolling Sales File.  All Sales From  September 2016 - August 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 09/11/17  Coop Sales File as of 09/08/17.,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 5/19/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6360,157, ,A5,36 BAY 10TH   STREET, ,11228,1,0,1," 1,547 "," 1,428 ",1930,1,A5," 800,000 ",2/27/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6361,20, ,A5,47 BAY 10TH STREET, ,11228,1,0,1," 1,933 "," 1,660 ",1930,1,A5, -   ,3/4/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6364,2, ,A5,1649 BENSON AVENUE, ,11214,1,0,1," 1,638 ", 972 ,1930,1,A5, -   ,10/6/16
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6367,42, ,S1,1730 86TH STREET, ,11214,1,1,2," 1,342 "," 1,920 ",1926,1,S1," 1,200,000 ",3/31/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6374,67, ,S1,8642 20TH AVENUE, ,11214,1,1,2," 1,740 "," 3,240 ",1925,1,S1," 1,090,000 ",10/24/16
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6376,13, ,A9,69 BAY 25TH STREET, ,11214,1,0,1," 2,868 "," 2,330 ",1915,1,A9, -   ,10/31/16
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6405,49, ,S1,1863 BATH AVENUE, ,11214,1,1,2," 1,172 "," 1,800 ",1920,1,S1," 1,060,000 ",4/21/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6406,25, ,A1,1906 BENSON AVENUE, ,11214,1,0,1," 5,750 "," 2,386 ",1901,1,A1," 2,050,000 ",5/16/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6414,36, ,A1,91 BAY 29TH STREET, ,11214,1,0,1," 3,867 "," 2,739 ",1910,1,A1," 950,000 ",9/23/16
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6431,57, ,A9,202 BAY 14TH STREET, ,11214,1,0,1," 2,015 "," 1,458 ",1910,1,A9, -   ,6/19/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6442,131, ,S1,2012 BATH AVENUE, ,11214,1,1,2, 709 ," 1,178 ",1925,1,S1," 638,000 ",9/20/16
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,63, ,A1,292 BAY 10TH STREET, ,11228,1,0,1," 1,933 "," 1,152 ",1920,1,A1," 788,000 ",4/7/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,64, ,A9,294 BAY 10TH STREET, ,11228,1,0,1," 1,933 "," 1,152 ",1920,1,A9," 750,000 ",4/25/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,216, ,A5,8874 16TH AVENUE, ,11214,1,0,1," 1,760 ", 992 ,1950,1,A5, -   ,3/23/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6460,225, ,A5,8892 16TH AVENUE, ,11214,1,0,1," 1,980 "," 1,188 ",1950,1,A5, -   ,10/6/16
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,100, ,A5,261 BAY 14TH STREET, ,11214,1,0,1," 1,795 "," 1,204 ",1930,1,A5, -   ,5/4/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,217, ,A5,8929 16TH AVENUE, ,11214,1,0,1," 1,944 "," 1,188 ",1940,1,A5," 848,000 ",2/3/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,247, ,A5,280 BAY 13 STREET, ,11214,1,0,1," 1,649 ", 928 ,1945,1,A5," 700,000 ",11/11/16
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,266, ,A5,243 BAY 13TH STREET, ,11214,1,0,1," 2,060 "," 1,240 ",1940,1,A5, -   ,12/28/16
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,273, ,A5,257 BAY 13 STREET, ,11214,1,0,1," 1,649 ", 928 ,1940,1,A5," 748,000 ",1/5/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6461,289, ,A5,291 BAY 13TH   STREET, ,11214,1,0,1," 2,062 "," 1,240 ",1940,1,A5," 850,000 ",3/3/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6463,127, ,A5,8849 18TH   AVENUE, ,11214,1,0,1," 1,384 ", 992 ,1950,1,A5," 786,000 ",3/20/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6466,75, ,A5,224 BAY 23RD STREET, ,11214,1,0,1," 1,983 "," 1,420 ",1945,1,A5," 815,000 ",1/27/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6357,15, ,B1,8643 14TH AVENUE, ,11228,2,0,2," 2,320 "," 2,160 ",1930,1,B1," 1,388,000 ",6/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6357,46, ,B1,24 BAY 7 STREET, ,11228,2,0,2," 2,320 "," 2,160 ",1930,1,B1," 1,150,000 ",10/11/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6357,56, ,B1,52 BAY 7TH   STREET, ,11228,2,0,2," 2,320 "," 2,160 ",1930,1,B1," 452,500 ",12/20/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,26, ,B1,8633 15TH AVENUE, ,11228,2,0,2," 2,312 "," 2,160 ",1930,1,B1," 999,000 ",9/1/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,44, ,S2,1518 86 STREET, ,11228,2,1,3," 1,917 "," 2,496 ",1931,1,S2," 1,350,000 ",3/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,61, ,B3,44 BAY 10TH STREET, ,11228,2,0,2," 1,547 "," 1,428 ",1930,1,B3, -   ,2/8/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,77, ,B1,76 BAY 10TH STREET, ,11228,2,0,2," 1,718 "," 2,298 ",1960,1,B1," 1,220,000 ",3/7/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6360,123, ,B3,8643 15TH AVENUE, ,11228,2,0,2," 2,513 "," 1,428 ",1930,1,B3," 740,000 ",10/24/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6361,30, ,B3,23 BAY 10TH   STREET, ,11228,2,0,2," 2,103 "," 1,622 ",1930,1,B3," 928,000 ",10/26/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6362,6, ,B1,1557 BENSON AVENUE, ,11228,2,0,2," 1,920 "," 1,840 ",1920,1,B1, -   ,4/11/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6362,6, ,B1,1557 BENSON AVENUE, ,11228,2,0,2," 1,920 "," 1,840 ",1920,1,B1, 10 ,2/6/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6363,27, ,B3,8633 16TH AVENUE, ,11214,2,0,2," 2,058 "," 1,492 ",1930,1,B3, -   ,6/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6363,30, ,B3,8627 16TH   AVENUE, ,11214,2,0,2," 2,058 "," 1,492 ",1930,1,B3, -   ,4/5/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6363,40, ,B3,1610 86TH STREET, ,11214,2,0,2," 1,439 "," 1,292 ",1920,1,B3, -   ,11/22/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6364,64, ,B1,48 BAY 14TH STREET, ,11214,2,0,2," 2,160 "," 3,072 ",1901,1,B1," 800,000 ",9/22/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6365,61, ,B1,8646 17TH AVENUE, ,11214,2,0,2," 3,178 "," 2,745 ",1950,1,B1, -   ,6/28/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,29, ,B1,8633 17TH AVENUE, ,11214,2,0,2," 1,933 "," 3,240 ",1901,1,B1, -   ,4/17/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,46, ,S2,1718 86TH   STREET, ,11214,2,1,3," 1,251 "," 2,565 ",1916,1,S2," 4,680,000 ",8/2/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6367,71, ,B3,58 BAY 17TH   STREET, ,11214,2,0,2," 4,833 "," 1,992 ",1899,1,B3," 1,350,000 ",9/30/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6368,1, ,B2,75 BAY 17  STREET, ,11214,2,0,2," 6,863 "," 2,868 ",1915,1,B2," 2,000,000 ",4/19/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6369,45, ,S2,8603 18TH AVENUE, ,11214,2,1,3," 1,113 "," 3,840 ",1925,1,S2," 25,000 ",12/5/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6369,93, ,B3,106 BAY 19TH   STREET, ,11214,2,0,2," 1,265 "," 1,260 ",1935,1,B3, -   ,6/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6370,64, ,B2,24 BAY 20TH, ,11214,2,0,2," 2,417 "," 1,584 ",1930,1,B2," 826,819 ",5/24/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6371,80, ,B2,8670 19TH   AVENUE, ,11214,2,0,2," 2,223 "," 2,520 ",1930,1,B2," 610,000 ",4/24/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6371,80, ,B2,8670 19TH   AVENUE, ,11214,2,0,2," 2,223 "," 2,520 ",1930,1,B2," 610,000 ",1/17/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6372,8, ,B1,8703 19TH   AVENUE, ,11214,2,0,2," 1,540 "," 3,162 ",1920,1,B1," 1,030,000 ",12/16/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6372,14, ,B1,8687 19TH AVENUE, ,11214,2,0,2," 1,600 "," 3,162 ",1920,1,B1, 10 ,8/16/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6372,44, ,B2,8615 19TH AVENUE, ,11214,2,0,2," 3,867 "," 3,235 ",1930,1,B2," 1,600,000 ",4/19/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6379,8, ,B1,75 BAY 28TH STREET, ,11214,2,0,2," 2,393 "," 2,560 ",1910,1,B1," 700,000 ",12/16/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6391,15, ,B9,8747 14TH AVENUE, ,11228,2,0,2," 2,127 "," 1,701 ",1950,1,B9," 1,150,000 ",6/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6391,66, ,B3,140 BAY 7TH ST, ,11228,2,0,2," 1,933 "," 2,260 ",1960,1,B3, -   ,11/16/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6393,45, ,B1,8692 15TH AVENUE, ,11228,2,0,2," 2,296 "," 2,160 ",1940,1,B1, -   ,10/20/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6394,16, ,B9,8745 15TH   AVENUE, ,11228,2,0,2," 3,867 "," 2,400 ",1955,1,B9," 1,550,000 ",7/3/17
